wavelength,ApoSymb_1,ApoSymb_2,ApoSymb_3,ApoSymb_4,ApoSymb_5
179.865,734.25488,795.5313544,717.1325479,701.1759841,740.5202186
180.087,1264.805786,1339.225859,1250.428897,1156.186344,1237.048027
180.308,11731.80868,12411.34937,11000.78537,10139.04312,10859.59499
180.53,12013.34536,12709.53146,11781.70338,10467.90929,11094.82329
180.751,3599.423315,3712.385027,3413.245144,3119.263633,3373.051115
180.973,783.7786525,806.927667,756.1425084,699.212575,755.5410021
181.194,1667.611356,1858.759768,1810.86183,1479.48987,1648.380597
181.416,756.6626528,916.9820167,908.3206716,723.7376064,812.3097615
181.637,615.0686319,841.2373344,932.3259101,594.5811547,738.8290306
181.858,119.4988932,187.1854025,173.9230228,105.2305284,114.0257659
182.08,-195.7348408,-225.0060025,-243.0338134,-188.3176766,-234.288515
182.301,185.3506867,124.8866858,89.68580192,299.2653303,-126.2537565
182.523,96.27093248,166.5118714,175.3826014,9.768157013,146.1034667
182.744,96.84552179,116.6795599,103.8097397,69.60478439,100.5625268
182.965,75.01188671,90.16519239,87.74257623,66.01815175,82.07956923
183.187,78.14445052,91.2710189,88.06873326,74.02893562,82.94846196
183.408,74.8716421,88.00790346,85.94696191,76.04901271,82.20889538
183.629,69.78199687,85.89683495,81.59136654,73.57182164,77.84873269
183.85,69.22312636,83.79676351,80.09731187,74.70532764,77.3474604
184.072,69.30452254,83.29044847,78.20495168,74.56576548,77.9092816
184.293,71.54641041,84.75611333,77.48774111,75.53460459,77.5255287
184.514,74.46720245,85.31208128,78.60014697,79.15003245,80.11578526
184.736,73.0267739,83.94778266,77.35876052,77.23746995,78.51664567
184.957,74.74616922,84.06777886,78.92843013,80.01420052,80.70258447
185.178,76.35530283,86.86874358,80.58626461,82.50745395,82.51938816
185.399,77.95735179,87.98106964,82.08795503,84.13219087,84.32112133
185.62,78.42850978,88.36432483,81.85527305,83.96077834,86.10849825
185.842,80.77842557,89.43651971,82.14806072,85.09439249,87.92384324
186.063,80.44827876,89.13581848,82.78938987,84.38452714,87.35454085
186.284,80.23511272,89.50385923,82.67585605,84.63972802,86.28201652
186.505,82.46730485,91.49017779,85.38105846,86.25259964,87.09366256
186.726,84.69489559,92.82899394,88.82295737,89.31004988,90.47906001
186.947,83.50455564,93.57157057,89.34362882,86.91256585,90.12410099
187.169,83.43029693,93.49214193,89.22141099,86.83453179,90.03886544
187.39,83.105637,93.48617963,88.16602205,85.90784999,87.95803515
187.611,81.50335807,91.17762409,87.88557722,83.81036463,85.51097214
187.832,83.02432353,91.96318692,87.62539395,84.86357379,85.91282692
188.053,82.38893978,90.8062799,87.20629878,85.12419875,84.87497466
188.274,81.77519869,91.30576426,86.96184272,85.0068874,85.07918787
188.495,83.14245429,92.13662369,88.50131269,86.19840684,86.5024611
188.716,83.79744721,92.09802661,89.43734868,87.44970688,88.74122066
188.937,82.63531306,89.83113806,87.61290852,86.9444862,87.58250599
189.158,80.83624359,89.56889487,84.62798039,85.749898,85.73113584
189.379,80.01457015,87.25724556,82.81119509,85.03119267,84.79640701
189.6,80.13307845,87.38617613,83.90620547,86.72748889,85.74670525
189.821,77.96289542,84.27386008,82.10269574,85.01312187,84.50685912
190.042,78.90588347,85.55978595,80.02470027,84.18398946,85.72095413
190.263,78.64398771,85.41880364,81.70068785,83.95769247,86.52019027
190.484,78.41975997,85.13898439,80.53877631,83.42618147,85.48610617
190.705,78.7846332,84.68524765,81.67637968,83.50103142,84.316155
190.926,80.52808148,86.15914745,82.36096751,84.49322223,84.63807181
191.147,79.18081997,85.90614262,80.44428552,82.55344249,83.3274424
191.368,79.03851804,87.00744041,81.76488019,82.94805019,84.23773957
191.589,78.79863558,85.47418816,81.42132741,82.17350033,83.62986455
191.81,80.32698607,87.9781415,82.96956116,84.06434303,85.94510251
192.03,81.12107262,87.6990817,83.87824638,85.29260323,86.19837908
192.251,80.34445309,88.26871424,83.65997493,85.82083466,86.48424699
192.472,80.08708185,88.47822121,83.96330089,86.6787261,86.30041199
192.693,78.13181523,87.47537785,81.3142577,84.03438719,83.94394173
192.914,79.38574935,88.99552912,84.06452577,85.84472727,85.55855545
193.135,79.31909013,89.67499986,85.75713204,85.92787823,86.52590401
193.356,76.88070474,88.00854704,84.68960904,83.98805554,87.15295214
193.576,77.05941982,87.15967013,84.30178025,83.74543929,87.59708572
193.797,74.88874936,84.42285959,81.507613,80.19321997,83.59724758
194.018,74.06434392,84.73426163,82.71322144,79.14343847,82.58370874
194.239,72.83441098,84.09357332,81.86686169,78.33180715,81.17811565
194.459,71.77191717,83.90882331,78.99163948,76.39810996,78.97722442
194.68,73.28293311,83.93389355,79.9621272,75.41785233,79.44970104
194.901,74.34478499,83.34885816,83.07158004,76.89131275,80.48269916
195.122,76.21794209,85.38372088,85.28348996,79.44115903,82.44931949
195.342,76.91597251,85.88705304,85.14754032,78.91118492,83.10163543
195.563,76.18407232,84.55911063,84.21065426,79.18909653,82.05238876
195.784,77.2845155,85.40495273,85.67662977,80.568929,81.43212108
196.004,77.47109602,85.52569637,86.51003898,80.82670769,80.22311679
196.225,79.15729836,86.47093652,87.72109578,83.02353959,82.46867686
196.446,79.48385951,85.9290063,86.94963366,83.35646733,83.18057251
196.666,78.8787896,83.8154766,87.84125407,82.54225838,82.55677494
196.887,79.44840735,83.53550964,88.05479042,82.36703321,83.57002225
197.108,79.14946098,82.71691834,87.18475437,82.12249409,82.76031431
197.328,78.70488936,82.94718428,87.04832279,82.29589328,83.83385504
197.549,75.96939745,79.82273598,85.33664671,79.64778616,81.68696165
197.769,73.47904633,76.8591995,82.72158447,76.80024366,79.6105353
197.99,73.20083597,76.01828103,80.6570163,74.8534316,78.44776032
198.211,71.60952707,75.46849535,78.67883845,74.48317328,77.93778445
