wavelength,Sym_1,Sym_2,Sym_3,Sym_4,Sym_5
179.865,379.9462731,527.8040797,541.3851455,678.215965,862.6661953
180.087,650.7527661,855.3904175,897.3662539,1162.496676,1462.020491
180.308,5717.902722,7435.893205,7812.260137,10334.55781,12530.40748
180.53,5673.656171,7869.386687,8398.644821,10893.57325,13000.8233
180.751,1820.88915,2437.795146,2532.296648,3179.27688,3823.54951
180.973,420.5307455,562.2118213,549.3689357,695.1716411,817.4326116
181.194,883.5475233,1284.734115,1230.541121,1556.694455,1854.562542
181.416,415.281506,664.7242598,607.0229768,752.7389015,853.6131314
181.637,272.427019,730.3585564,500.9684536,797.2171687,586.9503241
181.858,81.97105274,237.3456058,95.29905188,198.0611326,165.184417
182.08,-22.2675443,-128.0187853,-38.1047536,-303.4144262,-233.437684
182.301,136.2106394,123.7261977,-1.114492777,157.8082569,-38.85793235
182.523,129.5386696,8.739594781,79.83924947,96.66927936,84.33349922
182.744,83.10742778,52.89916221,76.91093484,65.73615806,51.16324549
182.965,63.68237958,49.55204344,71.2586048,61.25719634,52.0866971
183.187,66.47924393,57.29013451,71.53141635,63.71268597,55.94654936
183.408,65.93596631,58.46083629,66.60444497,62.1843916,58.14453558
183.629,62.12252383,54.67019793,65.16872082,58.49019306,55.84784964
183.85,60.83181966,53.03891948,64.53888971,57.90582065,56.99136554
184.072,61.28921594,53.4246241,63.46973015,58.73069365,55.41496101
184.293,59.53494055,53.45528356,61.6672677,58.86030051,58.61299011
184.514,60.58870882,53.84494215,62.6892484,59.6966356,60.8806549
184.736,59.69178333,52.06491886,62.20750265,57.60138814,58.25607383
184.957,60.42678236,54.12265643,64.00665085,58.70748051,60.71079153
185.178,62.33679588,55.41003292,64.82606553,61.04956198,63.00809635
185.399,63.58827371,57.08218138,65.37820565,61.03777556,63.75257681
185.62,64.55897897,57.31353722,65.40519469,60.43122424,63.93971819
185.842,64.62458369,58.49197937,67.2412962,61.14994155,65.53455118
186.063,64.66286564,58.36972774,66.12264832,60.27433398,65.51188706
186.284,65.06375224,58.8764839,66.30131547,59.85965414,65.0247344
186.505,65.99827579,60.35467591,67.77573797,61.44517829,66.6269942
186.726,68.25729988,62.8574921,69.76100364,62.99799053,67.98411732
186.947,68.23830169,62.90096997,69.72786416,63.53208532,66.92805267
187.169,69.72304944,63.86100032,69.69713924,63.30479295,67.62137325
187.39,69.48518189,62.45966956,69.13672426,62.03959162,66.33445288
187.611,68.78194105,61.00368169,68.16729645,60.1568517,64.30764348
187.832,70.16008189,61.68007233,69.03313908,61.73157343,65.61040928
188.053,69.76651464,61.78446169,69.53371551,61.61904768,64.93077216
188.274,69.53744387,60.74947801,68.60397939,61.3980478,62.06407051
