,kMEbrown
evm.TU.Ap1.1006,-0.271742030474321
evm.TU.Ap1.1014,-0.228150983241375
evm.TU.Ap1.1015,0.117775051800656
evm.TU.Ap1.1019,-0.0234832993515654
evm.TU.Ap1.1023,0.223111178599793
evm.TU.Ap1.1025,0.179608683798571
evm.TU.Ap1.1033,-0.132023289242143
evm.TU.Ap1.1034,-0.276542951801005
evm.TU.Ap1.1045,-0.206307792072655
evm.TU.Ap1.1047,-0.171733197841272
evm.TU.Ap1.1051,0.0435466510365721
evm.TU.Ap1.1052,0.0354223821396464
evm.TU.Ap1.1055,-0.0264311148458305
evm.TU.Ap1.1059,-0.428343302404057
evm.TU.Ap1.1061,-0.0444465764701946
evm.TU.Ap1.1062,0.00854433283992353
evm.TU.Ap1.1063,0.4015550852333
evm.TU.Ap1.1066,-0.277990735198365
evm.TU.Ap1.107,-0.488299755093006
evm.TU.Ap1.1071,0.258996436758298
evm.TU.Ap1.1072,-0.0570356375044112
evm.TU.Ap1.1073,0.217717074931621
evm.TU.Ap1.108,-0.350378187684066
evm.TU.Ap1.1080,0.0987964745426174
evm.TU.Ap1.1085,-0.169373827791193
evm.TU.Ap1.1086,-0.171626089370482
evm.TU.Ap1.109,-0.144357944123053
evm.TU.Ap1.1090,-0.17054877759524
evm.TU.Ap1.1092,-0.155754848718422
evm.TU.Ap1.1095,0.105589275701843
evm.TU.Ap1.1096,-1.91202181739299e-05
evm.TU.Ap1.1099,0.208492937702021
evm.TU.Ap1.1109,0.275787471720494
evm.TU.Ap1.1110,0.112047842343777
evm.TU.Ap1.1111,-0.145993401108924
evm.TU.Ap1.1112,-0.0533683645302078
evm.TU.Ap1.1113,0.303570869270601
evm.TU.Ap1.1115,-0.0336610645822293
evm.TU.Ap1.1116,-0.123792097971287
evm.TU.Ap1.1123,0.22613838056158
evm.TU.Ap1.1132,-0.141276474705203
evm.TU.Ap1.1133,0.113982377038062
evm.TU.Ap1.1134,-0.0282689175216484
evm.TU.Ap1.114,0.091955944546435
evm.TU.Ap1.1142,0.0591945859877419
evm.TU.Ap1.1143,-0.423988041664343
evm.TU.Ap1.1155,0.0112504206488862
evm.TU.Ap1.1158,0.0212185959693579
evm.TU.Ap1.1159,0.0357426980029688
evm.TU.Ap1.116,0.159950007377068
evm.TU.Ap1.1160,-0.365628516664238
evm.TU.Ap1.1161,0.317714136627667
evm.TU.Ap1.1162,0.249690739048497
evm.TU.Ap1.1163,0.249246770340684
evm.TU.Ap1.1164,-0.02998948873289
evm.TU.Ap1.1165,-0.197588709043119
evm.TU.Ap1.1166,0.0897576590418414
evm.TU.Ap1.1168,-0.183327267226295
evm.TU.Ap1.1172,0.22347530146005
evm.TU.Ap1.1173,-0.294351328320128
evm.TU.Ap1.1177,-0.173848577444374
evm.TU.Ap1.1188_evm.TU.Ap1.1190,-0.141627068759782
evm.TU.Ap1.1191,-0.133821671710748
evm.TU.Ap1.1192,-0.18277761461597
evm.TU.Ap1.1194,-0.0600820862104312
evm.TU.Ap1.12,0.0324082963643192
evm.TU.Ap1.120,0.18253343891099
evm.TU.Ap1.1223,-0.355490425259676
evm.TU.Ap1.1245,-0.0830607873069325
evm.TU.Ap1.1246,-0.113569829241811
evm.TU.Ap1.1247,-0.105761570074951
evm.TU.Ap1.125,0.77823239381969
evm.TU.Ap1.1255,-0.264215085549925
evm.TU.Ap1.1256,-0.22400790479317
evm.TU.Ap1.1258,0.0662059512292631
evm.TU.Ap1.1260,0.0331085929426529
evm.TU.Ap1.1264,-0.254595779453568
evm.TU.Ap1.1266,-0.173203666965714
evm.TU.Ap1.1267,-0.378212713231717
evm.TU.Ap1.1268,0.823106135712936
evm.TU.Ap1.1269,0.129468734328266
evm.TU.Ap1.1272,-0.216638754915389
evm.TU.Ap1.1273,-0.16098106439539
evm.TU.Ap1.1276,-0.0015131136319546
