Sample_ID,Nubin_ID,Tank,Genet,State,Treatment,Light,Heat,Surface_area,Total_Slurry,Sym_density,Carb_host,Carb_sym,Chl_a,Chl_c2,Protein_host,Protein_sym,PAM_d6,PAM_d10,PAM_d13,Feeding_d2,Feeding_d6,Feeding_d9,Feeding_d13
ACC_10,10A,4A,10,apo,CL_C,Control,Control,208.103081,10,0,0.054786,0.007758,7.705825,4.175475,0.00369686,0.003182942,0.462,0.342666667,0.296,5,5,5,5
ACH_10,10B,3A,10,apo,CL_H,Control,Heat,328.57939,8,0,0.33668875,0.019845,17.701775,8.027725,0.038326169,0.003904167,0.450666667,0.465666667,0.136,5,5,5,5
ACC_11,11A,4B,11,apo,CL_C,Control,Control,376.867285,12.5,0,0.082759333,0.021646167,5.402066667,2.87485,0.008213049,0.00191118,0.518333333,0.136,0.313,5,5,5,5
ACH_11,11B,3B,11,apo,CL_H,Control,Heat,526.978102,10,500000,0.097422333,0.03152375,8.097475,5.389775,0.026318436,0.003815513,0.403666667,0.460666667,0.466,5,5,5,5
ACC_12,12A,4B,12,apo,CL_C,Control,Control,313.726657,12,0,0.1389675,0.022122,11.947025,4.945075,0.010630736,0.002788347,0.573,0.328666667,0.337,5,5,4,5
ACH_12,12B,3B,12,apo,CL_H,Control,Heat,127.911855,7.5,0,0.154297,0.025500833,7.919266667,3.52575,0.010351397,0.0034705,0.478666667,0.481666667,0.289,5,5,5,5
ACC_13,13A,4A,13,apo,CL_C,Control,Control,338.131149,12.5,150000,0.208212,0.137262,19.405975,11.939225,0.04092394,0.008885065,0.492333333,0.260666667,0.347333333,4,5,5,5
ACH_13,13B,3A,13,apo,CL_H,Control,Heat,NA,12.5,0,0.189360333,0.051335833,93.1633,44.3428,0.012155364,0.004745247,0.589,0.644666667,0.477,5,5,5,5
ACC_14,14A,4C,14,apo,CL_C,Control,Control,527.999109,12.5,550000,0.077828,0.060426,15.8586,11.6784,0.02081175,0.007056383,0.427,0.403333333,0.409,5,5,5,5
ACH_14,14B,3A,14,apo,CL_H,Control,Heat,779.166828,9.5,450000,0.1408725,0.03054,11.71005,5.86735,0.010842564,0.004503813,0.494,0.238333333,0.452666667,5,4,5,4
ADC_15,15A,6A,15,apo,NL_C,No Light,Control,909.40005,12.5,50000,0.04762475,0.064191,5.766583333,5.0513,0.03061266,0.00522375,0.339,0.406333333,0.358666667,5,5,5,5
ADH_15,15B,5B,15,apo,NL_H,No Light,Heat,896.188498,10,50000,0.07127025,0,0.900516667,1.15205,0.008315911,0.003269949,0.354,0.304,0.215333333,3,2,4,3
ADC_16,16A,6B,16,apo,NL_C,No Light,Control,1418.2328,15,0,0.105366,0.143874,6.41125,4.38815,0.014428093,0.013877706,0.287333333,0.212333333,0.283,5,3,4,3
ADH_16,16B,5C,16,apo,NL_H,No Light,Heat,792.699347,12.5,0,0.024282833,0,0.546033333,1.28905,0.0033356,0.003666852,0.309666667,0.454666667,0.375666667,4,4,4,1
ADC_17,17A,6C,17,apo,NL_C,No Light,Control,1149.427111,6,500000,0.063965333,0.014718,0.1304,0.4335,0.00749684,0.003537384,0.322,0.171666667,0.279666667,3,4,5,5
ADH_17,17B,5A,17,apo,NL_H,No Light,Heat,1677.461089,20,350000,0.06878125,0.07489625,5.047425,5.159875,0.0148648,0.003515101,0.232,0.169,0.097666667,3,5,5,4
ADC_18,18A,6A,18,apo,NL_C,No Light,Control,1301.284311,9,50000,0.077078667,0.044694,0,0,0.01276944,0.006521313,0.239,0.282333333,0.344,5,4,4,4
ADH_18,18B,5B,18,apo,NL_H,No Light,Heat,590.057781,15,0,0.05758075,0.048417,0.558025,1.109675,NA,NA,0.224333333,0.327,0.154666667,5,4,4,2
ADC_19,19A,6B,19,apo,NL_C,No Light,Control,682.451944,12.5,100000,0.152012,0.05199,0.945783333,0.95175,0.023766793,0.006230694,0.309,0.46,0.364666667,5,4,4,3
ADH_19,19B,5C,19,apo,NL_H,No Light,Heat,328.687286,12,0,0.130384,0.023322,0.3278,0.73895,0.03955271,0.00522375,0.183333333,0.125333333,0.088666667,4,5,5,2
AHC_01,1A,2B,1,apo,HL_C,High Light,Control,419.399195,10,50000,0.1884985,0.0186215,25.26941667,9.02525,0.018794945,0.003416111,0.373666667,0.116666667,0.241333333,5,5,5,4
AHH_01,1B,1B,1,apo,HL_H,High Light,Heat,857.026583,10,0,0.16199125,0.03946,0.3305,0.22175,0.013222385,0.003595938,0,0.09,0.233333333,5,5,5,5
ADC_20,20A,6C,20,apo,NL_C,No Light,Control,724.961641,10,500000,0.044098667,0.104343,6.690183333,6.017,0.04921074,0.008429046,0.381666667,0.321666667,0.216666667,4,4,4,4
ADH_20,20B,5A,20,apo,NL_H,No Light,Heat,261.106113,8,0,0.0918045,0.003963,0.901416667,0.97965,0.03027224,0.004534753,0.269,0.438666667,0.279,4,4,3,1
SHC_21,21A,2B,21,sym,HL_C,High Light,Control,316.190812,12,150000,0.11609575,0.042706167,14.78588333,5.3937,0.007408398,0.00327587,0.063666667,0.266666667,0.469666667,4,4,5,5
SHH_21,21B,1B,21,sym,HL_H,High Light,Heat,318.007914,9,2350000,0.222396,0.036964,70.767525,33.338625,0.017027408,0.003135364,0.302333333,0.352333333,0.284666667,5,5,5,5
SHC_22,22A,2A,22,sym,HL_C,High Light,Control,1511.860603,8,3850000,0.2954185,0.01628,16.34933333,10.8543,0.078503168,0.003144591,0.250666667,0.357333333,0.45,4,5,5,5
SHH_22,22B,1C,22,sym,HL_H,High Light,Heat,799.752438,5,2300000,0.31568875,0.082169333,48.67806667,73.77795,0.03722875,0.00317332,0.446666667,0.453333333,0.467666667,5,5,5,5
