Sample_ID,White,Brown,Heated,Dark,Control.Light,High.Light,Symbiont.Density,chlA,chlC2,Host.Carbohydrate,Symbiont.Carbohydrate,Host.Protein,Symbiont.Protein,PAM_Day13,Feeding_Day13
ACC_08,1,0,0,0,1,0,1083740.279,30.89574201,20.14368377,0.169145667,0.157459334,0.052377955,0.00581936,0.369,4
ACC_09,1,0,0,0,1,0,1324891.937,150.1332212,83.92351322,0.072124909,0.184968901,0.039209453,0.012482924,0.412,5
ACC_10,1,0,0,0,1,0,0,92.57221185,50.16113865,0.263263762,0.037279602,0.017764562,0.015295026,0.296,5
ACC_11,1,0,0,0,1,0,0,35.83533834,19.07070549,0.274497603,0.071796385,0.027241185,0.006339035,0.313,5
ACC_12,1,0,0,0,1,0,0,95.20250139,39.40591985,0.531548711,0.084616335,0.040662414,0.010665388,0.337,5
ACC_13,1,0,0,0,1,0,554518.5664,143.4796458,88.27362575,0.769716132,0.50742885,0.15128723,0.032846223,0.347333333,5
ACC_14,1,0,0,0,1,0,1302085.531,75.08819489,55.29554786,0.184252205,0.143054219,0.049270325,0.01670548,0.409,5
ACC_40,1,0,0,0,1,0,76779.3163,120.3582965,47.99981107,0.157483591,0.122198889,0.053324914,0.013999268,0.184666667,5
ACH_08,1,0,1,0,1,0,0,1529.48739,618.5981534,1.271932754,0.131058772,0.070522502,0.026295689,0.337,5
ACH_09,1,0,1,0,1,0,1216677.79,1285.981848,529.0096022,0.766342756,0.515445546,0.228311242,0.027512978,0.316333333,5
ACH_10,1,0,1,0,1,0,0,134.684155,61.07903633,0.81974405,0.04831709,0.093313629,0.009505568,0.136,5
ACH_11,1,0,1,0,1,0,948806.0284,38.41466547,25.56925506,0.184869794,0.059819848,0.049942181,0.007240363,0.466,5
ACH_12,1,0,1,0,1,0,0,154.7797635,68.90975821,0.904706995,0.149521909,0.060694513,0.020348974,0.289,5
ACH_13,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.477,5
ACH_14,1,0,1,0,1,0,548662.988,37.57234516,18.82571803,0.171758948,0.037235928,0.013219808,0.005491279,0.452666667,4
ADC_15,1,0,0,1,0,0,68726.62917,15.85271337,13.88635288,0.065461771,0.088232621,0.042078099,0.007180215,0.358666667,5
ADC_16,1,0,0,1,0,0,0,11.30147674,7.735242761,0.111440802,0.152168953,0.015259934,0.014677815,0.283,3
ADC_17,1,0,0,1,0,0,260999.5859,0.28361955,0.942861004,0.033389851,0.007682784,0.003913344,0.001846512,0.279666667,5
ADC_18,1,0,0,1,0,0,34581.22074,0,0,0.053309488,0.030911462,0.008831656,0.004510299,0.344,4
ADC_19,1,0,0,1,0,0,183163.08,3.464651765,3.486509227,0.278429861,0.095226485,0.04353199,0.011412331,0.364666667,3
ADC_20,1,0,0,1,0,0,689691.6633,23.07081835,20.74937369,0.060828966,0.143928994,0.067880474,0.011626886,0.216666667,4
ADH_15,1,0,1,1,0,0,55791.8341,2.512073824,3.213749124,0.079525959,0,0.009279199,0.003648729,0.215333333,3
ADH_16,1,0,1,1,0,0,0,1.722069455,4.065381172,0.038291367,0,0.005259876,0.005782224,0.375666667,1
ADH_17,1,0,1,1,0,0,417297.31,7.52241741,7.69000699,0.082006373,0.089297153,0.017722974,0.004190978,0.097666667,4
ADH_18,1,0,1,1,0,0,0,2.364281169,4.701552271,0.146377402,0.123082014,NA,NA,0.154666667,2
ADH_19,1,0,1,1,0,0,0,2.493251291,5.620463823,0.476017195,0.085145977,0.144402458,0.019071319,0.088666667,2
ADH_20,1,0,1,1,0,0,0,8.630750317,9.379807205,0.281278746,0.01214219,0.092750766,0.013893977,0.279,1
AHC_01,1,0,0,0,0,1,119218.1592,150.628667,53.79868457,0.449448884,0.044400419,0.044813975,0.008145249,0.241333333,4
AHC_02,1,0,0,0,0,1,943855.7926,47.23724143,97.46383622,0.203452406,0.012643377,0.042510271,0.005405857,0.326,5
AHC_03,1,0,0,0,0,1,0,105.6117978,45.26469003,0.346169244,0.027962498,0.018764962,0.004963897,0.294666667,5
AHC_04,1,0,0,0,0,1,162880.0117,13.22922314,4.555428168,0.397089253,0.090600378,0.090272344,0.010513025,0.292333333,5
AHC_05,1,0,0,0,0,1,72498.65839,3.469342744,0.725107415,0.064621437,0.006761627,0.016421055,0.001875378,0.429,5
AHC_06,1,0,0,0,0,1,0,28.30929458,15.64107382,0.105596077,0.039668966,0.033727673,0.001417452,0.376666667,5
