Tank,Treatment,Day,Target_Temp,Temp
1A,Heated,1,18,17.9
1B,Heated,1,18,17.8
1C,Heated,1,18,17.8
2A,Control_Temp,1,18,18
2B,Control_Temp,1,18,17.9
2C,Control_Temp,1,18,17.9
3A,Heated,1,18,17.7
3B,Heated,1,18,17.8
3C,Heated,1,18,17.7
4A,Control_Temp,1,18,17
4B,Control_Temp,1,18,17
4C,Control_Temp,1,18,17
5A,Heated,1,18,17.7
5B,Heated,1,18,17.7
5C,Heated,1,18,17.7
6A,Control_Temp,1,18,17.7
6B,Control_Temp,1,18,17.7
6C,Control_Temp,1,18,17.7
1A,Heated,2,19,19.7
1B,Heated,2,19,19.4
1C,Heated,2,19,19.4
2A,Control_Temp,2,18,18.2
2B,Control_Temp,2,18,18.1
2C,Control_Temp,2,18,18
3A,Heated,2,19,18.8
3B,Heated,2,19,18.8
3C,Heated,2,19,18.8
4A,Control_Temp,2,18,17.2
4B,Control_Temp,2,18,17.1
4C,Control_Temp,2,18,17.1
5A,Heated,2,19,18.1
5B,Heated,2,19,18.1
5C,Heated,2,19,18.3
6A,Control_Temp,2,18,17.7
6B,Control_Temp,2,18,17.7
6C,Control_Temp,2,18,17.7
1A,Heated,3,20,21.1
1B,Heated,3,20,21
1C,Heated,3,20,20.6
2A,Control_Temp,3,18,18.3
2B,Control_Temp,3,18,18.1
2C,Control_Temp,3,18,18.1
3A,Heated,3,20,19.8
3B,Heated,3,20,19.7
3C,Heated,3,20,19.7
4A,Control_Temp,3,18,18.1
4B,Control_Temp,3,18,18
4C,Control_Temp,3,18,18
5A,Heated,3,20,19.4
5B,Heated,3,20,19.4
5C,Heated,3,20,19.6
6A,Control_Temp,3,18,17.9
6B,Control_Temp,3,18,17.8
6C,Control_Temp,3,18,17.7
1A,Heated,4,21,20.8
1B,Heated,4,21,20.7
1C,Heated,4,21,20.8
2A,Control_Temp,4,18,18.3
2B,Control_Temp,4,18,18.4
2C,Control_Temp,4,18,18.5
3A,Heated,4,21,20.6
3B,Heated,4,21,20.5
3C,Heated,4,21,20.3
4A,Control_Temp,4,18,18.1
4B,Control_Temp,4,18,18.1
4C,Control_Temp,4,18,18
5A,Heated,4,21,20.1
5B,Heated,4,21,20.1
5C,Heated,4,21,20.2
6A,Control_Temp,4,18,18
6B,Control_Temp,4,18,17.9
6C,Control_Temp,4,18,17.9
1A,Heated,5,22,25.2
1B,Heated,5,22,25.2
1C,Heated,5,22,25.2
2A,Control_Temp,5,18,17.8
2B,Control_Temp,5,18,17.8
2C,Control_Temp,5,18,17.7
3A,Heated,5,22,21
3B,Heated,5,22,21
3C,Heated,5,22,20.9
4A,Control_Temp,5,18,17.9
4B,Control_Temp,5,18,17.9
4C,Control_Temp,5,18,17.8
5A,Heated,5,22,20.8
5B,Heated,5,22,20.8
5C,Heated,5,22,20.8
6A,Control_Temp,5,18,17.8
6B,Control_Temp,5,18,17.8
6C,Control_Temp,5,18,17.9
1A,Heated,6,23,24.1
1B,Heated,6,23,24.2
1C,Heated,6,23,24.1
2A,Control_Temp,6,18,18.2
2B,Control_Temp,6,18,18.1
2C,Control_Temp,6,18,18.1
3A,Heated,6,23,20.9
3B,Heated,6,23,21
3C,Heated,6,23,20.9
4A,Control_Temp,6,18,17.9
4B,Control_Temp,6,18,17.9
4C,Control_Temp,6,18,17.8
5A,Heated,6,23,20.7
5B,Heated,6,23,20.8
5C,Heated,6,23,20.8
6A,Control_Temp,6,18,17.9
6B,Control_Temp,6,18,18
6C,Control_Temp,6,18,17.7
1A,Heated,7,24,23.6
1B,Heated,7,24,23.6
1C,Heated,7,24,23.6
2A,Control_Temp,7,18,18.2
2B,Control_Temp,7,18,18.1
2C,Control_Temp,7,18,18.1
3A,Heated,7,24,23
3B,Heated,7,24,23
3C,Heated,7,24,23.1
4A,Control_Temp,7,18,17.5
4B,Control_Temp,7,18,17.6
4C,Control_Temp,7,18,17.5
5A,Heated,7,24,23
5B,Heated,7,24,23.1
5C,Heated,7,24,23.1
6A,Control_Temp,7,18,17.9
6B,Control_Temp,7,18,17.8
6C,Control_Temp,7,18,17.8
1A,Heated,8,25,24.5
1B,Heated,8,25,24.5
1C,Heated,8,25,24.5
2A,Control_Temp,8,18,18.1
2B,Control_Temp,8,18,18.1
2C,Control_Temp,8,18,18
3A,Heated,8,25,24.5
3B,Heated,8,25,24.5
3C,Heated,8,25,24.6
4A,Control_Temp,8,18,17.7
4B,Control_Temp,8,18,17.7
4C,Control_Temp,8,18,17.6
5A,Heated,8,25,24.4
5B,Heated,8,25,24.5
5C,Heated,8,25,24.5
6A,Control_Temp,8,18,17.8
6B,Control_Temp,8,18,17.8
6C,Control_Temp,8,18,17.8
1A,Heated,9,26,25.5
1B,Heated,9,26,25.5
1C,Heated,9,26,25.5
2A,Control_Temp,9,18,18
2B,Control_Temp,9,18,18
2C,Control_Temp,9,18,18
3A,Heated,9,26,25.2
3B,Heated,9,26,25.3
3C,Heated,9,26,25.4
4A,Control_Temp,9,18,17.6
4B,Control_Temp,9,18,17.4
4C,Control_Temp,9,18,17.4
5A,Heated,9,26,25.2
5B,Heated,9,26,25.4
5C,Heated,9,26,25.5
6A,Control_Temp,9,18,17.9
6B,Control_Temp,9,18,18.3
6C,Control_Temp,9,18,17.8
1A,Heated,10,27,26.2
1B,Heated,10,27,26.3
1C,Heated,10,27,26.4
2A,Control_Temp,10,18,17.8
2B,Control_Temp,10,18,17.7
2C,Control_Temp,10,18,17.7
3A,Heated,10,27,26.1
3B,Heated,10,27,26.1
3C,Heated,10,27,26.4
4A,Control_Temp,10,18,17.8
4B,Control_Temp,10,18,17.8
4C,Control_Temp,10,18,18.1
5A,Heated,10,27,26.1
5B,Heated,10,27,26.2
5C,Heated,10,27,26.4
6A,Control_Temp,10,18,17.9
6B,Control_Temp,10,18,17.7
6C,Control_Temp,10,18,17.4
1A,Heated,11,28,27.2
1B,Heated,11,28,27.3
1C,Heated,11,28,27.4
2A,Control_Temp,11,18,18.2
2B,Control_Temp,11,18,18.2
2C,Control_Temp,11,18,18.1
3A,Heated,11,28,27
3B,Heated,11,28,27.1
3C,Heated,11,28,27.3
4A,Control_Temp,11,18,17.9
4B,Control_Temp,11,18,17.8
4C,Control_Temp,11,18,17.6
5A,Heated,11,28,27.1
5B,Heated,11,28,27.1
5C,Heated,11,28,27.3
6A,Control_Temp,11,18,17.9
6B,Control_Temp,11,18,17.9
6C,Control_Temp,11,18,17.7
1A,Heated,12,29,28.4
1B,Heated,12,29,28.5
1C,Heated,12,29,28.4
2A,Control_Temp,12,18,17.7
2B,Control_Temp,12,18,17.6
2C,Control_Temp,12,18,17.6
3A,Heated,12,29,28.7
3B,Heated,12,29,28.6
3C,Heated,12,29,28.5
4A,Control_Temp,12,18,17.9
4B,Control_Temp,12,18,17.7
4C,Control_Temp,12,18,17.9
5A,Heated,12,29,28
5B,Heated,12,29,28.1
5C,Heated,12,29,28.1
6A,Control_Temp,12,18,17.9
6B,Control_Temp,12,18,17.7
6C,Control_Temp,12,18,14.4
1A,Heated,13,30,29.5
1B,Heated,13,30,29.8
1C,Heated,13,30,29.5
2A,Control_Temp,13,18,16.7
2B,Control_Temp,13,18,16.6
2C,Control_Temp,13,18,17
3A,Heated,13,30,29.6
3B,Heated,13,30,29.2
3C,Heated,13,30,29.7
4A,Control_Temp,13,18,17.9
4B,Control_Temp,13,18,17.9
4C,Control_Temp,13,18,18.2
5A,Heated,13,30,30.1
5B,Heated,13,30,30
5C,Heated,13,30,29.7
6A,Control_Temp,13,18,17
6B,Control_Temp,13,18,17
6C,Control_Temp,13,18,16.9
1A,Heated,14,31,30.3
1B,Heated,14,31,30.3
1C,Heated,14,31,30.4
2A,Control_Temp,14,18,15.6
2B,Control_Temp,14,18,15.5
2C,Control_Temp,14,18,15.5
3A,Heated,14,31,30
3B,Heated,14,31,29.7
3C,Heated,14,31,30.2
4A,Control_Temp,14,18,17.6
4B,Control_Temp,14,18,17.6
4C,Control_Temp,14,18,17.5
5A,Heated,14,31,30.1
5B,Heated,14,31,30.1
5C,Heated,14,31,30.1
6A,Control_Temp,14,18,17.1
6B,Control_Temp,14,18,17.1
6C,Control_Temp,14,18,17.1
