10A_S440_L002_R1_001	9667087awCounts
10B_S455_L002_R1_001	5332552awCounts
11A_S477_L002_R1_001	5836036awCounts
11B_S276_L001_R1_001	6604539awCounts
12A_S443_L002_R1_001	7839463awCounts
12B_S453_L002_R1_001	5300272awCounts
13A_S444_L002_R1_001	5963539awCounts
13B_S456_L002_R1_001	6604593awCounts
14A_S471_L002_R1_001	6007047awCounts
14B_S465_L002_R1_001	6323372awCounts
15A_S259_L001_R1_001	6316982awCounts
15B_S272_L001_R1_001	5735036awCounts
16A_S458_L002_R1_001	5724775awCounts
16B_S264_L001_R1_001	5808464awCounts
17A_S469_L002_R1_001	5674621awCounts
17B_S463_L002_R1_001	5883384awCounts
18A_S476_L002_R1_001	8197084awCounts
19A_S271_L001_R1_001	4540598awCounts
19B_S448_L002_R1_001	6652693awCounts
1A_S450_L002_R1_001	6720357awCounts
1B_S280_L001_R1_001	6070896awCounts
20A_S460_L002_R1_001	6827906awCounts
20B_S277_L001_R1_001	6067525awCounts
21A_S480_L002_R1_001	6657357awCounts
21B_S282_L001_R1_001	5179794awCounts
22A_S457_L002_R1_001	8725046awCounts
22B_S270_L001_R1_001	4443899awCounts
23A_S485_L002_R1_001	5939337awCounts
23B_S481_L002_R1_001	5208409awCounts
24A_S459_L002_R1_001	8255270awCounts
24B_S278_L001_R1_001	5302960awCounts
25A_S439_L002_R1_001	9729920awCounts
25B_S262_L001_R1_001	4794651awCounts
26A_S275_L001_R1_001	7070395awCounts
26B_S267_L001_R1_001	6586563awCounts
27A_S273_L001_R1_001	3980153awCounts
27B_S279_L001_R1_001	4458375awCounts
28A_S454_L002_R1_001	5439192awCounts
28B_S281_L001_R1_001	5058908awCounts
29A_S445_L002_R1_001	5750175awCounts
29B_S461_L002_R1_001	5191099awCounts
2A_S467_L002_R1_001	5538551awCounts
2B_S261_L001_R1_001	8165069awCounts
30A_S446_L002_R1_001	6743717awCounts
31A_S266_L001_R1_001	4991864awCounts
31B_S268_L001_R1_001	5279759awCounts
32A_S484_L002_R1_001	5856805awCounts
32B_S472_L002_R1_001	6434564awCounts
33A_S466_L002_R1_001	4925096awCounts
33B_S452_L002_R1_001	7903992awCounts
34A_S449_L002_R1_001	9286967awCounts
34B_S474_L002_R1_001	5415358awCounts
35A_S482_L002_R1_001	5627248awCounts
35B_S478_L002_R1_001	8035881awCounts
36A_S462_L002_R1_001	5940200awCounts
36B_S257_L001_R1_001	5231225awCounts
37A_S479_L002_R1_001	5409693awCounts
37B_S263_L001_R1_001	5383345awCounts
38A_S255_L001_R1_001	5126966awCounts
38B_S254_L001_R1_001	3582324awCounts
39A_S451_L002_R1_001	6592798awCounts
39B_S473_L002_R1_001	6997750awCounts
3A_S468_L002_R1_001	7089413awCounts
3B_S258_L001_R1_001	7983183awCounts
40A_S283_L001_R1_001	6470010awCounts
40B_S475_L002_R1_001	6463935awCounts
4A_S265_L001_R1_001	6088484awCounts
4B_S442_L002_R1_001	4587480awCounts
5B_S256_L001_R1_001	6230582awCounts
6A_S441_L002_R1_001	6121828awCounts
6B_S464_L002_R1_001	5998682awCounts
7A_S470_L002_R1_001	6736278awCounts
7B_S260_L001_R1_001	7217537awCounts
8A_S269_L001_R1_001	6541997awCounts
8B_S447_L002_R1_001	5074986awCounts
9A_S483_L002_R1_001	6497913awCounts
9B_S274_L001_R1_001	7013530awCounts
