Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap11.1448	sp|B2LT65|TLR2_SHEEP	2.34e-17	Toll-like receptor 2 OS=Ovis aries GN=TLR2 PE=2 SV=1	tr|A7SFW6|A7SFW6_NEMVE	1.6e-43	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g57985 PE=4 SV=1	ref|XP_020632303.1|	4.6e-111	uncharacterized protein LOC110069170 [Orbicella faveolata]	GO:0005794; GO:0016021; GO:0045121; GO:0030670; GO:0071726; GO:0071727; GO:0006954; GO:0045087; GO:0002755; GO:0050729; GO:0050707; GO:0034134	GO:0007165
evm.model.Ap11.1449	sp|P27653|C1TC_RAT	0	C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3	tr|A7RG51|A7RG51_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g158170 PE=3 SV=1	ref|XP_022805855.1|	0	LOW QUALITY PROTEIN: C-1-tetrahydrofolate synthase, cytoplasmic-like [Stylophora pistillata]	GO:0005737; GO:0070062; GO:0016020; GO:0005739; GO:0005524; GO:0004329; GO:0004477; GO:0004487; GO:0004488; GO:0004486; GO:0009257; GO:0007507; GO:0000105; GO:0009086; GO:0006555; GO:0001843; GO:0001780; GO:0009117; GO:0006730; GO:0009113; GO:0006164; GO:0035713; GO:0009070; GO:0009069; GO:0061053; GO:0035999; GO:0046653; GO:0019346	GO:0005737; GO:0005524; GO:0004329; GO:0004477; GO:0004488; GO:0009257; GO:0009113
evm.model.Ap11.1446	NA	NA	NA	tr|A0A2B4T1X8|A0A2B4T1X8_STYPI	4.34e-47	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene379 PE=4 SV=1	ref|XP_015765099.1|	1.43e-49	PREDICTED: uncharacterized protein LOC107344011 [Acropora digitifera]	NA	
evm.model.Ap11.1447	sp|P27653|C1TC_RAT	2e-39	C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3	tr|F6U5Q3|F6U5Q3_XENTR	3.65e-39	Uncharacterized protein (Fragment) OS=Xenopus tropicalis GN=mthfd1 PE=4 SV=1	ref|XP_020632199.1|	1.25e-43	C-1-tetrahydrofolate synthase, cytoplasmic-like [Orbicella faveolata]	GO:0005737; GO:0070062; GO:0016020; GO:0005739; GO:0005524; GO:0004329; GO:0004477; GO:0004487; GO:0004488; GO:0004486; GO:0009257; GO:0007507; GO:0000105; GO:0009086; GO:0006555; GO:0001843; GO:0001780; GO:0009117; GO:0006730; GO:0009113; GO:0006164; GO:0035713; GO:0009070; GO:0009069; GO:0061053; GO:0035999; GO:0046653; GO:0019346	GO:0005737; GO:0005524; GO:0004329; GO:0004477; GO:0004488; GO:0009257; GO:0009113
evm.model.Ap11.1444	NA	NA	NA	NA	NA	NA	ref|XP_020632068.1|	7.11e-83	uncharacterized protein LOC110068991 [Orbicella faveolata]	NA	NA
evm.model.Ap11.1445	sp|Q90330|FGFR4_COTCO	2.9e-12	Fibroblast growth factor receptor 4 OS=Coturnix coturnix GN=FGFR4 PE=2 SV=1	tr|A0A0L0C335|A0A0L0C335_LUCCU	1.73e-10	Peroxidasin OS=Lucilia cuprina GN=FF38_12927 PE=4 SV=1	ref|XP_020632303.1|	1.63e-117	uncharacterized protein LOC110069170 [Orbicella faveolata]	GO:0005783; GO:0005768; GO:0016021; GO:0005886; GO:0005524; GO:0005007; GO:0008284	GO:0020037; GO:0004601; GO:0006979
evm.model.Ap11.1442	NA	NA	NA	tr|A0A183MMI0|A0A183MMI0_9TREM	1.83e-63	Uncharacterized protein OS=Schistosoma margrebowiei PE=4 SV=1	ref|XP_020619420.1|	4.26e-100	uncharacterized protein LOC110057177 [Orbicella faveolata]	NA	
evm.model.Ap11.1443	sp|Q63054|ICA69_RAT	1.27e-106	Islet cell autoantigen 1 OS=Rattus norvegicus GN=Ica1 PE=2 SV=2	tr|A0A2B4S6A7|A0A2B4S6A7_STYPI	0	Islet cell autoantigen 1 OS=Stylophora pistillata GN=Ica1 PE=4 SV=1	ref|XP_015772664.1|	0	PREDICTED: islet cell autoantigen 1-like [Acropora digitifera]	GO:0030054; GO:0005829; GO:0030425; GO:0000139; GO:0005795; GO:0048471; GO:0030667; GO:0030672; GO:0019904; GO:0006836; GO:0050796; GO:0043496	GO:0019904
evm.model.Ap11.1440	sp|Q5XF78|GAMT2_ARATH	1.54e-14	Gibberellic acid methyltransferase 2 OS=Arabidopsis thaliana GN=GAMT2 PE=1 SV=1	tr|A0A2B4RZG8|A0A2B4RZG8_STYPI	5.22e-168	Benzoate carboxyl methyltransferase OS=Stylophora pistillata GN=BAMT PE=4 SV=1	ref|XP_020632070.1|	0	benzoate carboxyl methyltransferase-like [Orbicella faveolata]	GO:0102118; GO:0010341; GO:0046872; GO:0008757	GO:0008168
evm.model.Ap11.1441	sp|Q5XF78|GAMT2_ARATH	2.11e-15	Gibberellic acid methyltransferase 2 OS=Arabidopsis thaliana GN=GAMT2 PE=1 SV=1	tr|A0A2B4RZG8|A0A2B4RZG8_STYPI	2.43e-169	Benzoate carboxyl methyltransferase OS=Stylophora pistillata GN=BAMT PE=4 SV=1	ref|XP_020632070.1|	0	benzoate carboxyl methyltransferase-like [Orbicella faveolata]	GO:0102118; GO:0010341; GO:0046872; GO:0008757	GO:0008168
