"gene","GO_Description"
"evm.TU.Ap11.1448","Toll-like receptor 2 OS=Ovis aries GN=TLR2 PE=2 SV=1"
"evm.TU.Ap11.1449","C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3"
"evm.TU.Ap11.1446",NA
"evm.TU.Ap11.1447","C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3"
"evm.TU.Ap11.1444",NA
"evm.TU.Ap11.1445","Fibroblast growth factor receptor 4 OS=Coturnix coturnix GN=FGFR4 PE=2 SV=1"
"evm.TU.Ap11.1442",NA
"evm.TU.Ap11.1443","Islet cell autoantigen 1 OS=Rattus norvegicus GN=Ica1 PE=2 SV=2"
"evm.TU.Ap11.1440","Gibberellic acid methyltransferase 2 OS=Arabidopsis thaliana GN=GAMT2 PE=1 SV=1"
"evm.TU.Ap11.1441","Gibberellic acid methyltransferase 2 OS=Arabidopsis thaliana GN=GAMT2 PE=1 SV=1"
"evm.TU.Ap11.10",NA
"evm.TU.Ap11.11","Hepatocyte nuclear factor 3-beta OS=Oryzias latipes GN=foxa2 PE=2 SV=1"
"evm.TU.Ap11.12","Putative uncharacterized transposon-derived protein F52C9.6 OS=Caenorhabditis elegans GN=F52C9.6 PE=5 SV=1"
"evm.TU.Ap11.13","H2.0-like homeobox protein OS=Homo sapiens GN=HLX PE=1 SV=3"
"evm.TU.Ap11.14",NA
"evm.TU.Ap11.14.1.5f15db9e",NA
"evm.TU.Ap11.14.2.5f15db9e",NA
"evm.TU.Ap11.15","ATP-binding cassette sub-family A member 12 OS=Homo sapiens GN=ABCA12 PE=1 SV=3"
"evm.TU.Ap11.15.1.5f15db9f","ATP-binding cassette sub-family A member 12 OS=Homo sapiens GN=ABCA12 PE=1 SV=3"
"evm.TU.Ap11.16",NA
"evm.TU.Ap11.17","ATP-binding cassette sub-family A member 3 OS=Mus musculus GN=Abca3 PE=1 SV=3"
"evm.TU.Ap11.18",NA
